name;who2021
Aceh;1.09
Bali;0.75
Bangka Belitung;0.51
Banten;1.85
Bengkulu;0.75
Gorontalo;0.61
Jakarta Raya;2.42
Jambi;0.59
Jawa Barat;1.95
Jawa Tengah;1.43
Jawa Timur;1.43
Kalimantan Barat;0.75
Kalimantan Selatan;0.81
Kalimantan Tengah;0.74
Kalimantan Timur;0.57
Kalimantan Utara;0.34
Kepulauan Riau;0.56
Lampung;0.9
Maluku;0.26
Maluku Utara;0.46
Nusa Tenggara Barat;0.65
Nusa Tenggara Timur;0.5
Papua;0.73
Papua Barat;0.51
Riau;0.53
Sulawesi Barat;0.87
Sulawesi Selatan;0.99
Sulawesi Tengah;0.79
Sulawesi Tenggara;0.66
Sulawesi Utara;0.57
Sumatera Barat;0.98
Sumatera Selatan;0.92
Sumatera Utara;1.96
Yogyakarta;0.94
